BrowseX|BrowseX|1.1|6.2||6.1
Netscape|Netscape/|1|2|4|7.2.2
amaya|amaya||||1.1.2
OffByOne|OffByOne|1||4|5.3
Opera|Opera/|1||2|1.1.2
Opera|U;Opera|1||2|4.2
Opera|Opera|1||4|5.2
MS Internet Explorer|MSIE|1||4|3.2
Mosaic|Mozilla/0.|1|2||1.1.2
Mozilla Firebird|Mozilla Firebird|1|2|4|7.3.2
Mozilla|;Gecko/|1|2|4|6.1.1.2
AOLpress|AOLpress||||1.2.2
Lynx|Lynx||||1.1.2
Multiweb|compatible;Indy Library|1
Netscape Navigator|Mozilla/1.|1|2||1.1.2
Netscape Communicator|Mozilla/4.|1.1||2|1.1.2
